"status_type","status_published","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","dow","moy","pos_emo_int","neg_emo_int"
"photo",2018-02-28 01:43:00,11,6,61,4,1,0,0,0,3,2,715,0
"video",2018-02-26 08:50:00,292,28,150,19,1,1,0,0,1,2,49348,0
"video",2018-02-25 10:13:00,72,23,79,10,1,0,0,0,7,2,6408,0
"video",2018-02-21 00:19:00,39,9,121,16,1,1,0,0,3,2,5343,0
"video",2018-02-19 00:11:00,181,21,201,33,0,1,0,1,1,2,42354,181
"video",2018-02-18 07:15:00,210,34,193,30,0,2,0,0,7,2,46830,0
"photo",2018-02-17 22:30:00,12,0,260,11,4,0,0,0,6,2,3252,0
"video",2018-02-17 04:15:00,456,37,334,31,1,1,1,4,6,2,166440,2280
"photo",2018-02-15 03:47:00,9,0,419,23,3,0,0,0,4,2,3978,0
"video",2018-02-14 08:23:00,60,11,114,13,0,0,0,1,3,2,7620,60
"video",2018-02-13 01:16:00,235,46,163,19,0,3,0,1,2,2,42770,235
"video",2018-02-12 03:28:00,444,36,254,42,2,8,3,0,1,2,131424,1332
"photo",2018-02-11 05:55:00,11,3,75,2,0,0,0,0,7,2,847,0
"video",2018-02-10 07:54:00,72,28,103,16,0,0,0,0,6,2,8568,0
"photo",2018-02-09 01:48:00,21,13,95,5,0,0,0,0,5,2,2100,0
"video",2018-02-08 09:14:00,255,111,193,44,1,1,0,1,4,2,60435,255
"video",2018-02-07 08:35:00,136,48,146,15,2,0,1,0,3,2,21896,136
"video",2018-02-06 08:46:00,327,42,171,30,1,0,0,0,2,2,65727,0
"video",2018-02-05 09:20:00,284,46,186,25,0,0,0,0,1,2,59924,0
"video",2018-02-04 03:25:00,114,16,136,10,0,2,0,0,7,2,16644,0
"video",2018-02-03 08:34:00,81,16,84,13,0,0,0,0,6,2,7857,0
"video",2018-02-02 09:24:00,292,34,254,20,3,1,1,0,5,2,80008,292
"photo",2018-02-02 07:08:00,8,0,245,14,4,0,0,0,5,2,2072,0
"video",2018-02-02 06:01:00,193,34,151,25,1,0,0,0,5,2,33968,0
"photo",2018-01-28 07:50:00,32,1,484,26,7,0,0,0,7,1,16320,0
"video",2018-01-28 05:25:00,258,33,256,33,0,0,0,0,7,1,74562,0
"photo",2018-01-26 13:03:00,13,0,65,1,0,0,0,0,5,1,858,0
"photo",2018-01-26 13:02:00,6,0,104,8,0,0,0,0,5,1,672,0
"video",2018-01-26 08:47:00,259,48,181,22,1,2,0,0,5,1,52577,0
"video",2018-01-25 08:40:00,468,86,305,56,0,0,1,0,4,1,168948,468
"video",2018-01-23 09:04:00,130,51,161,23,0,0,0,0,2,1,23920,0
"video",2018-01-22 09:37:00,251,34,199,16,0,0,0,1,1,1,53965,251
"video",2018-01-22 09:15:00,0,0,56,1,0,0,0,0,1,1,0,0
"video",2018-01-21 09:10:00,258,43,226,44,1,1,0,0,7,1,69660,0
"video",2018-01-20 23:10:00,247,34,208,33,3,2,0,2,6,1,59527,494
"video",2018-01-20 09:08:00,89,40,110,20,1,0,0,1,6,1,11570,89
"video",2018-01-19 09:16:00,341,41,196,30,0,0,0,0,5,1,77066,0
"video",2018-01-19 09:06:00,1,0,35,0,0,0,0,0,5,1,35,0
"video",2018-01-18 08:54:00,316,36,170,46,3,0,0,0,4,1,68256,0
"video",2018-01-18 05:08:00,1,1,94,0,0,0,0,0,4,1,94,0
"video",2018-01-17 09:29:00,368,50,234,25,0,0,0,0,3,1,95312,0
"video",2018-01-16 22:36:00,1,0,62,0,0,0,0,0,2,1,62,0
"video",2018-01-16 22:13:00,76,21,114,13,0,0,0,0,2,1,9652,0
"video",2018-01-16 00:53:00,63,15,134,15,0,0,0,0,2,1,9387,0
"video",2018-01-13 09:18:00,171,41,116,18,0,0,0,0,6,1,22914,0
"video",2018-01-11 09:05:00,461,47,360,32,0,0,0,0,4,1,180712,0
"video",2018-01-10 08:57:00,540,41,284,26,0,0,0,0,3,1,167400,0
"photo",2018-01-02 23:05:00,3,0,12,2,0,0,0,0,2,1,42,0
"photo",2017-12-26 06:23:00,6,1,275,15,3,0,0,0,2,12,1740,0
"photo",2017-12-24 10:28:00,12,0,226,8,1,1,0,0,7,12,2808,0
"photo",2017-12-21 08:14:00,10,0,291,18,3,0,0,0,4,12,3090,0
"photo",2017-12-10 23:28:00,12,0,24,0,0,0,0,0,7,12,288,0
"link",2017-12-08 02:37:00,9,0,15,1,0,0,0,0,5,12,144,0
"photo",2017-12-07 06:41:00,12,0,32,1,0,0,0,0,4,12,396,0
"photo",2017-12-05 01:25:00,10,0,645,29,1,0,0,0,2,12,6740,0
"photo",2017-12-04 08:28:00,18,0,697,31,9,0,0,0,1,12,13104,0
"photo",2017-12-03 01:40:00,16,0,554,16,2,0,0,0,7,12,9120,0
"photo",2017-11-22 22:14:00,7,0,20,3,0,0,0,0,3,11,161,0
"photo",2017-11-21 01:37:00,25,0,250,11,5,0,0,0,2,11,6525,0
"video",2017-11-21 00:22:00,512,30,348,27,2,0,0,1,2,11,192000,512
"video",2017-11-18 22:32:00,709,30,373,45,2,0,1,0,6,11,296362,709
"video",2017-11-18 01:23:00,1979,753,1333,139,9,3,8,1,6,11,2913088,17811
"photo",2017-11-16 00:01:00,17,0,76,0,0,0,0,0,4,11,1292,0
"photo",2017-11-09 00:32:00,11,0,34,2,0,0,0,0,4,11,396,0
"photo",2017-11-02 21:22:00,8,0,18,0,0,1,0,0,4,11,144,0
"photo",2017-10-30 23:46:00,10,0,27,0,0,0,0,0,1,10,270,0
"photo",2017-10-26 12:02:00,2,53,108,9,0,0,0,0,4,10,234,0
"photo",2017-10-26 11:53:00,1,0,145,1,0,0,0,0,4,10,146,0
"photo",2017-10-25 22:45:00,0,13,151,7,0,0,8,0,3,10,0,0
"photo",2017-10-25 22:29:00,0,31,171,0,0,0,19,0,3,10,0,0
"photo",2017-10-24 03:55:00,16,0,213,4,0,0,0,0,2,10,3472,0
"photo",2017-10-24 01:20:00,14,0,451,3,4,0,0,0,2,10,6356,0
"photo",2017-10-23 03:52:00,15,0,538,12,3,0,0,0,1,10,8250,0
"photo",2017-10-23 03:23:00,18,11,190,7,6,0,0,0,1,10,3546,0
"photo",2017-10-22 00:38:00,25,1,979,16,9,1,0,0,7,10,24875,0
"video",2017-10-21 23:43:00,145,23,182,19,0,0,0,1,6,10,29145,145
"photo",2017-10-21 03:19:00,14,0,419,4,5,0,0,0,6,10,5922,0
"photo",2017-10-20 06:37:00,17,0,462,10,7,0,0,0,5,10,8024,0
"video",2017-10-20 03:19:00,116,11,201,10,1,0,0,0,5,10,24476,0
"video",2017-10-19 02:44:00,157,17,211,14,0,0,0,0,4,10,35325,0
"video",2017-10-18 09:13:00,46,5,156,12,2,1,0,0,3,10,7728,0
"video",2017-10-18 02:33:00,120,16,232,14,1,0,0,0,3,10,29520,0
"video",2017-10-17 05:37:00,453,39,242,26,1,0,0,0,2,10,121404,0
"video",2017-10-17 02:36:00,486,32,235,23,0,0,0,0,2,10,125388,0
"photo",2017-10-17 01:47:00,2,1,104,5,0,0,0,0,2,10,218,0
"photo",2017-10-16 22:47:00,5,0,96,0,1,0,0,0,1,10,480,0
"video",2017-10-16 06:37:00,199,25,254,24,2,0,0,0,1,10,55322,0
"video",2017-10-16 05:25:00,77,21,293,30,1,1,0,0,1,10,24871,0
"photo",2017-10-15 22:58:00,11,0,51,0,0,0,0,0,7,10,561,0
"video",2017-10-15 02:27:00,825,47,243,35,1,1,0,0,7,10,229350,0
"video",2017-10-14 10:37:00,0,0,632,34,0,0,22,0,6,10,0,0
"video",2017-10-14 03:35:00,805,46,320,39,1,3,0,2,6,10,288995,1610
"photo",2017-10-12 21:43:00,5,0,295,0,0,0,0,0,4,10,1475,0
"photo",2017-10-11 22:21:00,14,0,26,1,0,0,0,0,3,10,378,0
"photo",2017-10-06 08:04:00,11,0,15,0,0,0,0,0,5,10,165,0
"photo",2017-10-04 23:19:00,12,0,16,0,0,0,0,0,3,10,192,0
"photo",2017-10-01 03:31:00,12,0,29,0,0,0,0,0,7,10,348,0
"video",2017-10-01 01:05:00,6,0,28,0,0,0,0,0,7,10,168,0
"photo",2017-09-28 23:21:00,8,0,8,0,0,0,0,0,4,9,64,0
"photo",2017-09-28 00:12:00,9,0,10,0,0,0,0,0,4,9,90,0
"photo",2017-09-26 22:39:00,8,0,39,0,0,0,0,0,2,9,312,0
"photo",2017-09-25 22:52:00,11,0,47,2,0,0,0,0,1,9,539,0
"video",2017-09-24 01:58:00,449,37,189,25,1,1,10,0,7,9,96086,4490
"video",2017-09-24 01:52:00,49,13,91,12,0,0,1,0,7,9,5047,49
"photo",2017-09-23 03:56:00,17,0,244,7,0,0,0,0,6,9,4267,0
"video",2017-09-23 00:09:00,589,48,213,29,1,1,0,0,6,9,142538,0
"video",2017-09-22 08:48:00,558,41,204,45,1,1,0,1,5,9,138942,558
"video",2017-09-21 08:22:00,15,4,114,4,2,1,0,0,4,9,1770,0
"photo",2017-09-21 01:50:00,5,0,307,11,2,1,0,0,4,9,1590,0
"photo",2017-09-21 00:26:00,8,3,99,4,0,0,0,0,4,9,824,0
"video",2017-09-20 23:43:00,31,16,122,14,0,0,0,0,3,9,4216,0
"video",2017-09-20 21:25:00,247,27,300,35,1,1,0,0,3,9,82745,0
"photo",2017-09-20 09:47:00,13,0,627,18,3,0,0,0,3,9,8385,0
"video",2017-09-20 00:19:00,157,14,157,18,0,0,0,0,3,9,27475,0
"video",2017-09-19 07:39:00,424,36,296,38,1,4,0,0,2,9,141616,0
"photo",2017-09-19 06:44:00,3,0,331,8,2,0,0,0,2,9,1017,0
"video",2017-09-19 00:40:00,131,27,150,27,0,0,0,0,2,9,23187,0
"photo",2017-09-13 03:48:00,0,0,195,4,2,0,0,0,3,9,0,0
"photo",2017-09-12 22:34:00,7,0,41,2,0,0,0,0,2,9,301,0
"photo",2017-09-11 06:14:00,7,0,39,1,0,0,0,0,1,9,280,0
"photo",2017-09-07 22:52:00,14,0,57,1,0,0,0,0,4,9,812,0
"video",2017-09-07 04:21:00,525,42,363,36,1,3,0,0,4,9,209475,0
"photo",2017-09-07 02:02:00,4,3,144,4,0,0,0,0,4,9,592,0
"photo",2017-09-06 23:14:00,24,2,144,6,0,0,0,0,3,9,3600,0
"photo",2017-09-06 07:33:00,12,0,53,0,0,0,0,0,3,9,636,0
"status",2017-09-06 06:22:00,15,8,140,4,0,0,0,0,3,9,2160,0
"video",2017-09-06 03:48:00,491,46,262,34,2,0,0,0,3,9,145336,0
"photo",2017-09-06 02:02:00,4,1,166,5,0,0,0,0,3,9,684,0
"photo",2017-09-03 05:39:00,633,257,4315,73,17,5,0,0,7,9,2777604,0
"video",2017-08-31 08:50:00,588,46,327,47,0,0,0,0,4,8,219912,0
"photo",2017-08-30 08:38:00,20,0,180,1,0,0,0,0,3,8,3620,0
"photo",2017-08-27 09:46:00,20,1,249,8,10,0,0,0,7,8,5140,0
"photo",2017-08-27 04:54:00,7,0,59,1,0,0,0,0,7,8,420,0
"photo",2017-08-25 07:36:00,23,5,95,2,1,0,0,0,5,8,2231,0
"video",2017-08-25 02:29:00,7,0,26,0,0,0,0,0,5,8,182,0
"photo",2017-08-24 02:18:00,18,0,244,11,0,0,0,0,4,8,4590,0
"photo",2017-08-23 06:15:00,6,1,167,5,2,0,0,0,3,8,1032,0
"photo",2017-08-22 10:59:00,5,1,59,5,0,0,0,0,2,8,320,0
"photo",2017-08-22 10:32:00,3,0,58,4,0,0,0,0,2,8,186,0
"video",2017-08-22 01:40:00,417,40,168,22,1,1,0,0,2,8,79230,0
"photo",2017-08-22 00:09:00,18,6,110,0,0,0,0,0,2,8,1980,0
"photo",2017-08-22 00:08:00,12,7,117,2,0,0,0,0,2,8,1428,0
"photo",2017-08-20 04:41:00,11,0,41,0,1,0,0,0,7,8,451,0
"video",2017-08-19 23:14:00,355,34,178,52,2,0,1,1,6,8,81650,710
"photo",2017-08-18 11:35:00,10,0,53,1,0,0,0,0,5,8,540,0
"photo",2017-08-18 11:33:00,8,0,80,1,0,0,1,0,5,8,648,8
"photo",2017-08-18 08:36:00,8,0,18,0,0,0,0,0,5,8,144,0
"photo",2017-08-15 09:58:00,17,7,141,5,1,0,0,0,2,8,2482,0
"photo",2017-08-15 09:31:00,8,0,79,1,0,0,0,0,2,8,640,0
"video",2017-08-14 07:41:00,564,42,262,34,1,1,0,1,1,8,166944,564
"photo",2017-08-12 02:40:00,11,1,607,18,4,0,0,0,6,8,6875,0
"photo",2017-08-11 20:41:00,2,0,67,2,0,0,0,0,5,8,138,0
"video",2017-08-11 00:27:00,110,17,190,26,1,2,0,0,5,8,23760,0
"photo",2017-08-10 23:39:00,2,0,27,3,0,0,0,0,4,8,60,0
"photo",2017-08-10 09:17:00,1,0,62,2,1,0,0,0,4,8,64,0
"photo",2017-08-10 03:03:00,7,0,153,8,0,0,0,0,4,8,1127,0
"video",2017-08-10 01:24:00,605,30,348,44,3,3,0,0,4,8,237160,0
"photo",2017-08-09 05:14:00,7,0,47,0,0,0,0,0,3,8,329,0
"photo",2017-08-09 01:45:00,3,4,177,5,0,0,0,0,3,8,546,0
"video",2017-08-08 22:24:00,158,32,269,47,1,0,0,0,2,8,49928,0
"video",2017-08-08 05:13:00,888,107,459,107,1,1,1,2,2,8,502608,2664
"photo",2017-08-07 09:18:00,10,0,15,1,0,0,0,0,1,8,160,0
"photo",2017-08-06 01:08:00,9,0,30,0,0,0,0,0,7,8,270,0
"photo",2017-08-06 00:36:00,7,0,57,0,0,0,0,0,7,8,399,0
"photo",2017-08-05 01:44:00,6,3,74,0,0,0,0,0,6,8,444,0
"video",2017-08-03 04:50:00,911,50,317,50,1,0,0,0,4,8,334337,0
"photo",2017-08-03 04:31:00,3,0,19,0,0,0,0,0,4,8,57,0
"photo",2017-08-02 22:18:00,3,0,175,0,1,0,0,0,3,8,525,0
"photo",2017-08-02 06:02:00,7,0,133,0,0,0,0,0,3,8,931,0
"photo",2017-08-02 02:54:00,6,2,158,3,1,0,0,0,3,8,966,0
"video",2017-08-01 23:33:00,996,73,601,116,11,6,0,0,2,8,714132,0
"status",2017-08-01 00:57:00,16,9,41,1,0,0,0,0,2,8,672,0
"status",2017-07-31 09:50:00,6,3,31,2,0,0,0,0,1,7,198,0
"video",2017-07-28 01:10:00,6,1,29,0,0,0,0,0,5,7,174,0
"photo",2017-07-27 22:48:00,6,0,42,1,0,0,0,0,4,7,258,0
"photo",2017-07-27 08:08:00,6,0,13,1,0,0,0,0,4,7,84,0
"video",2017-07-26 09:01:00,574,48,406,63,4,2,0,0,3,7,269206,0
"photo",2017-07-25 23:18:00,8,2,49,1,0,0,0,0,2,7,400,0
"photo",2017-07-25 22:46:00,23,6,94,0,0,0,0,0,2,7,2162,0
"video",2017-07-22 08:50:00,34,3,291,11,1,0,0,0,6,7,10268,0
"photo",2017-07-22 07:08:00,7,1,167,1,0,0,0,0,6,7,1176,0
"photo",2017-07-21 23:32:00,14,0,241,7,0,0,0,0,5,7,3472,0
"photo",2017-07-21 08:52:00,6,0,410,8,3,1,0,0,5,7,2508,0
"photo",2017-07-21 04:20:00,3,0,184,2,0,3,0,0,5,7,558,0
"photo",2017-07-21 02:59:00,17,2,382,5,3,0,0,0,5,7,6579,0
"photo",2017-07-20 23:30:00,28,0,597,14,7,0,0,0,4,7,17108,0
"photo",2017-07-20 08:59:00,2,2,188,2,1,0,0,0,4,7,380,0
"video",2017-07-18 07:53:00,1381,67,275,44,1,1,0,0,2,7,440539,0
"photo",2017-07-16 02:18:00,7,2,347,15,2,0,0,0,7,7,2534,0
"photo",2017-07-13 00:11:00,10,0,51,0,0,0,0,0,4,7,510,0
"video",2017-07-12 07:59:00,524,38,247,34,0,1,0,0,3,7,147244,0
"photo",2017-07-09 07:26:00,14,1,362,7,0,0,0,0,7,7,5166,0
"photo",2017-07-08 08:41:00,16,6,133,4,1,0,0,0,6,7,2192,0
"photo",2017-07-05 09:15:00,9,1,93,1,2,0,0,0,3,7,846,0
"photo",2017-07-04 05:55:00,11,0,184,1,1,0,0,0,2,7,2035,0
"photo",2017-07-04 01:30:00,15,0,461,14,12,0,0,0,2,7,7125,0
"video",2017-07-03 23:23:00,19,4,257,20,3,2,0,0,1,7,5263,0
"photo",2017-06-26 04:06:00,8,1,367,13,3,0,0,0,1,6,3040,0
"photo",2017-06-25 11:49:00,0,1,211,5,0,0,0,0,7,6,0,0
"photo",2017-06-25 09:47:00,0,0,45,2,1,0,0,0,7,6,0,0
"video",2017-06-25 07:42:00,462,26,659,220,0,2,0,0,7,6,406098,0
"photo",2017-06-25 07:02:00,11,1,175,10,0,0,0,0,7,6,2035,0
"photo",2017-06-25 04:58:00,1,1,251,7,0,1,0,0,7,6,258,0
"photo",2017-06-25 02:48:00,9,0,291,8,0,0,0,0,7,6,2691,0
"photo",2017-06-24 23:41:00,9,1,186,13,0,0,0,0,6,6,1791,0
"photo",2017-06-24 04:34:00,40,1,680,30,7,0,0,0,6,6,28400,0
"photo",2017-06-22 06:34:00,2,0,150,5,0,0,0,0,4,6,310,0
"photo",2017-06-21 04:15:00,8,0,282,11,0,0,0,0,3,6,2344,0
"photo",2017-06-18 11:48:00,6,0,237,5,1,0,0,0,7,6,1452,0
"photo",2017-06-13 23:17:00,2,0,256,2,5,0,0,0,2,6,516,0
"photo",2017-06-13 01:31:00,3,0,297,7,6,0,0,0,2,6,912,0
"photo",2017-06-12 09:38:00,1,0,201,7,0,0,0,0,1,6,208,0
"photo",2017-06-12 09:33:00,0,0,209,6,1,0,0,0,1,6,0,0
"photo",2017-06-12 05:08:00,6,0,234,9,1,0,0,0,1,6,1458,0
"photo",2017-06-12 01:38:00,1,0,146,5,1,0,0,0,1,6,151,0
"photo",2017-06-11 07:04:00,3,0,368,16,1,0,0,0,7,6,1152,0
"photo",2017-06-10 08:19:00,9,0,170,6,0,0,0,0,6,6,1584,0
"photo",2017-06-10 06:00:00,4,0,212,5,1,0,0,0,6,6,868,0
"photo",2017-06-10 01:08:00,3,0,256,10,3,0,0,0,6,6,798,0
"photo",2017-06-08 09:26:00,4,1,344,6,0,0,0,0,4,6,1400,0
"photo",2017-06-08 05:29:00,0,2,224,8,0,0,0,0,4,6,0,0
"photo",2017-06-08 05:22:00,3,0,244,4,4,0,0,0,4,6,744,0
"photo",2017-06-08 03:27:00,0,0,114,8,0,0,0,0,4,6,0,0
"photo",2017-06-07 07:28:00,4,0,199,9,1,0,0,0,3,6,832,0
"photo",2017-06-07 02:36:00,5,1,295,10,0,0,0,0,3,6,1525,0
"photo",2017-06-05 06:43:00,10,2,70,1,0,0,0,0,1,6,710,0
"photo",2017-05-30 01:21:00,12,0,275,13,1,1,0,0,2,5,3456,0
"photo",2017-05-21 23:05:00,6,3,66,0,1,0,0,0,7,5,396,0
"photo",2017-05-21 05:53:00,11,0,752,30,1,0,0,0,7,5,8602,0
"photo",2017-05-14 03:14:00,2,0,76,1,0,0,0,0,7,5,154,0
"video",2017-05-13 03:21:00,0,0,22,0,0,0,0,0,6,5,0,0
"photo",2017-05-12 04:17:00,0,0,100,2,1,0,0,0,5,5,0,0
"video",2017-05-11 03:55:00,0,2,32,0,0,0,0,0,4,5,0,0
"photo",2017-05-10 22:46:00,5,2,229,8,0,0,2,0,3,5,1185,10
"photo",2017-05-10 02:48:00,6,0,110,1,0,0,0,0,3,5,666,0
"video",2017-05-08 09:57:00,0,1,51,0,0,0,0,0,1,5,0,0
"video",2017-05-08 09:42:00,4,0,34,0,0,0,0,0,1,5,136,0
"link",2017-05-05 23:27:00,0,0,15,0,0,0,0,0,5,5,0,0
"video",2017-05-05 05:12:00,0,5,75,0,0,0,0,0,5,5,0,0
"photo",2017-05-04 08:07:00,2,0,173,2,2,0,0,0,4,5,350,0
"photo",2017-05-04 00:29:00,8,0,505,13,2,0,0,0,4,5,4144,0
"photo",2017-05-02 10:11:00,2,0,132,2,0,0,0,0,2,5,268,0
"photo",2017-05-02 08:50:00,1,1,220,7,1,0,0,0,2,5,227,0
"video",2017-05-01 00:35:00,254,17,408,77,5,6,1,1,1,5,123190,508
"photo",2017-04-29 00:40:00,5,2,159,7,0,0,0,0,6,4,830,0
"video",2017-04-27 03:14:00,265,20,228,44,0,0,0,0,4,4,72080,0
"photo",2017-04-27 02:23:00,7,1,125,2,0,0,0,0,4,4,889,0
"photo",2017-04-26 08:35:00,0,0,29,0,1,0,0,0,3,4,0,0
"link",2017-04-26 00:11:00,1,1,33,0,0,0,0,0,3,4,33,0
"photo",2017-04-22 01:20:00,5,0,239,9,4,0,0,0,6,4,1240,0
"photo",2017-04-21 09:05:00,0,0,286,0,1,0,0,0,5,4,0,0
"photo",2017-04-20 07:34:00,8,3,257,5,2,0,0,0,4,4,2096,0
"photo",2017-04-20 06:12:00,5,1,148,3,1,0,0,0,4,4,755,0
"photo",2017-04-20 06:03:00,5,0,57,3,1,0,0,0,4,4,300,0
"video",2017-04-20 05:58:00,7,7,163,6,2,1,0,0,4,4,1183,0
"video",2017-04-20 02:36:00,523,21,459,125,21,8,0,1,4,4,305432,523
"photo",2017-04-19 09:17:00,0,0,184,4,0,0,0,0,3,4,0,0
"video",2017-04-19 08:02:00,309,23,484,99,1,4,4,1,3,4,180147,1545
"photo",2017-04-18 01:33:00,2,0,182,5,2,0,0,0,2,4,374,0
"photo",2017-04-17 01:41:00,5,0,175,3,0,0,0,0,1,4,890,0
"photo",2017-04-14 09:19:00,7,0,313,4,1,0,0,0,5,4,2219,0
"photo",2017-04-12 22:27:00,9,0,352,7,3,0,0,0,3,4,3231,0
"photo",2017-04-12 00:17:00,6,0,48,0,0,0,0,0,3,4,288,0
"photo",2017-04-12 00:15:00,1,0,244,3,1,0,0,0,3,4,247,0
"photo",2017-04-11 05:11:00,2,0,509,11,0,0,0,0,2,4,1040,0
"photo",2017-04-11 01:51:00,8,2,94,3,0,0,0,0,2,4,776,0
"photo",2017-04-09 03:51:00,16,0,392,6,2,0,0,0,7,4,6368,0
"photo",2017-04-08 11:38:00,0,0,212,6,0,0,0,0,6,4,0,0
"photo",2017-04-08 09:51:00,13,4,77,0,0,0,0,0,6,4,1001,0
"photo",2017-04-08 01:09:00,4,0,198,3,3,0,0,0,6,4,804,0
"photo",2017-04-07 00:08:00,6,0,399,6,0,0,0,0,5,4,2430,0
"photo",2017-04-06 08:24:00,0,0,204,6,0,0,0,0,4,4,0,0
"photo",2017-04-05 22:52:00,1,0,208,5,1,0,0,0,3,4,213,0
"photo",2017-04-05 06:51:00,4,0,360,7,7,0,0,0,3,4,1468,0
"photo",2017-04-05 06:44:00,3,0,444,10,3,0,0,0,3,4,1362,0
"photo",2017-04-05 06:01:00,0,0,205,8,2,0,0,0,3,4,0,0
"video",2017-04-04 20:19:00,5,0,7,0,0,0,0,0,2,4,35,0
"photo",2017-04-03 09:06:00,6,3,38,0,0,0,0,0,1,4,228,0
"photo",2017-04-01 09:13:00,1,0,168,0,0,0,0,0,6,4,168,0
"photo",2017-04-01 08:34:00,0,0,274,2,1,0,0,0,6,4,0,0
"photo",2017-03-31 10:29:00,1,0,190,6,0,0,0,0,5,3,196,0
"photo",2017-03-31 04:04:00,3,0,99,1,0,0,0,0,5,3,300,0
"photo",2017-03-30 10:11:00,4,0,79,4,2,0,0,0,4,3,332,0
"photo",2017-03-29 09:13:00,10,6,34,0,0,0,0,0,3,3,340,0
"photo",2017-03-27 07:30:00,9,0,39,1,1,0,0,0,1,3,360,0
"photo",2017-03-27 07:28:00,5,1,22,1,0,0,0,0,1,3,115,0
"video",2017-03-26 00:47:00,24,5,206,10,1,0,0,0,7,3,5184,0
"photo",2017-03-25 01:22:00,9,2,158,3,0,0,0,0,6,3,1449,0
"photo",2017-03-24 23:03:00,0,0,276,3,0,0,0,0,5,3,0,0
"photo",2017-03-23 08:13:00,9,3,95,2,0,0,0,0,4,3,873,0
"photo",2017-03-22 21:06:00,3,0,480,6,3,0,0,0,3,3,1458,0
"photo",2017-03-22 04:00:00,4,0,242,3,0,0,0,0,3,3,980,0
"photo",2017-03-21 08:48:00,5,0,268,2,0,0,0,0,2,3,1350,0
"photo",2017-03-21 05:14:00,11,1,165,1,0,0,0,0,2,3,1826,0
"video",2017-03-21 01:20:00,18,3,110,11,0,0,0,0,2,3,2178,0
"photo",2017-03-21 00:24:00,9,1,33,0,0,0,0,0,2,3,297,0
"photo",2017-03-21 00:23:00,1,0,72,0,0,0,0,0,2,3,72,0
